id_abonnement;produit_ar_ref;id_adherent;annee;qte;reglt_mois_depart;MR_No;reglt_mois_nb;nb;nb_initial;DO_Piece;id_abonnement_prec;reste_precedent
28982;ABF1;258510;2025;1;1;41;12;7;0;;0;0
28986;ABOEUF6;260456;2025;1;1;41;12;50;0;;0;0
28989;ABOEUF6;260639;2025;1;1;41;12;100;0;;0;0
28991;APS15;259194;2025;1;1;41;12;25;25;AFA250166;0;0
28992;ABF2;259439;2025;1;1;41;12;25;0;;0;0
28993;APS15;439;2025;1;1;5;12;25;25;;0;0
28995;ABOEUF6;236;2025;1;1;41;12;50;0;;0;0
28996;ABOEUF6;259928;2025;1;1;41;12;50;0;;0;0
28997;APS15;260158;2025;1;1;41;12;25;25;;0;0
29079;ABOEUF6;257725;2025;1;1;41;12;100;0;;0;0
